State,TrumpCOVID,GovCOVID,Trumpapprov,Population-permi2,Population-perkm2
AL,56,67,59,95,37
AK,54,77,52,1,0
AZ,48,52,43,60,23
AR,57,74,62,57,22
CA,31,79,28,251,97
CO,43,75,40,52,20
CT,36,72,36,741,286
DE,38,77,39,485,187
FL,45,53,46,378,145
GA,48,66,47,808,314
HI,10,71,29,222,86
ID,59,69,61,20,7
IL,36,75,36,231,89
IN,53,75,53,184,71
IA,48,65,49,55,21
KS,56,70,52,36,14
KY,55,83,58,112,43
LA,50,67,53,108,41
ME,43,73,38,43,16
MD,33,84,29,618,238
MA,28,81,28,871,336
MI,44,74,45,175,67
MN,41,82,43,68,26
MS,52,62,55,63,24
MO,53,53,55,88,34
MT,50,75,51,7,2
NE,57,70,55,24,9
NV,42,73,39,26,10
NH,48,75,38,148,57
NJ,36,77,35,1218,470
NM,38,70,45,17,6
NY,32,81,33,420,162
NC,45,75,44,206,79
ND,60,76,66,10,4
OH,49,85,51,284,109
OK,58,69,59,57,22
OR,39,65,35,41,16
PA,45,75,45,286,110
RI,27,76,34,1021,394
SC,51,63,52,162,62
SD,58,73,61,11,4
TN,59,60,55,160,61
TX,49,70,51,105,40
UT,56,76,52,36,14
VT,31,75,29,67,26
VA,43,68,42,212,81
WA,37,74,34,107,41
WV,55,70,63,76,29
WI,27,73,46,106,41
WY,69,78,67,6,2
