State,CountyState,County,State_Profile,Jurisdiction_Profile,County_Profile,Stay_at_home_date,Stay_at_home,Business_Closures,State_Abbrev,PreCovid_Jail_Pop,Change_Pop,Percent_Change,Incarceration_Per_100K,International_Benchmark,Rate_Reduction_Match_Itnl_Norms,Add_Jail_to_Match_Pre-COVID_Intl_Avg,Jail_rate_is_X_time_norm,Target_Jail_Population,Date_Covid_Data,Jail_Population_Latest,Resident_population,Cases_Per_100K_Residents,COVID-19_Cases,Deaths_Per_100K_Residents,COVID-19_Deaths
Alabama,"Autauga, Alabama",Autauga,0.6451282051,R,0.7535934292,4/4/2020 17:00,Yes,AllNonEssential,AL,167,-30,-0.179640719,245.2165,35,-210.216,-117.446,7.006185,19.55415,4/9/2020,137,55869,30,17,2,1
Alabama,"Cherokee, Alabama",Cherokee,0.6451282051,M,0.8526422764,4/4/2020 17:00,Yes,AllNonEssential,AL,111,-38,-0.342342342,278.6685,35,-243.668,-63.8314,7.961957,9.1686,4/9/2020,73,26196,27,7,0,0
Alabama,"Dale, Alabama",Dale,0.6451282051,R,0.7576687117,4/4/2020 17:00,Yes,AllNonEssential,AL,69,-17,-0.246376812,105.7512,35,-70.7512,-34.7898,3.021464,17.2102,4/9/2020,52,49172,12,6,0,0
Alabama,"DeKalb, Alabama",DeKalb,0.6451282051,R,0.8555327869,4/4/2020 17:00,Yes,AllNonEssential,AL,176,-75,-0.426136364,141.2331,35,-106.233,-75.9705,4.03523,25.02955,4/9/2020,101,71513,22,16,0,0
Alabama,"Fayette, Alabama",Fayette,0.6451282051,M,0.831300813,4/4/2020 17:00,Yes,AllNonEssential,AL,80,-22,-0.275,355.7846,35,-320.785,-52.2943,10.16527,5.7057,4/9/2020,58,16302,6,1,0,0
Alabama,"Franklin, Alabama",Franklin,0.6451282051,M,0.8114754098,4/4/2020 17:00,Yes,AllNonEssential,AL,118,-31,-0.262711864,277.4058,35,-242.406,-76.0233,7.925879,10.9767,4/9/2020,87,31362,26,8,0,0
Alabama,"Jackson, Alabama",Jackson,0.6451282051,M,0.8198567042,4/4/2020 17:00,Yes,AllNonEssential,AL,179,-59,-0.329608939,232.441,35,-197.441,-101.931,6.641172,18.0691,4/9/2020,120,51626,43,22,4,2
Alabama,"Jefferson, Alabama",Jefferson,0.6451282051,M,0.5360824742,4/4/2020 17:00,Yes,AllNonEssential,AL,996,-226,-0.226907631,116.9195,35,-81.9195,-539.499,3.340556,230.5006,4/9/2020,770,658573,79,523,2,14
Alabama,"Marion, Alabama",Marion,0.6451282051,M,0.887195122,4/4/2020 17:00,Yes,AllNonEssential,AL,135,-28,-0.207407407,360.1602,35,-325.16,-96.6019,10.29029,10.39815,4/9/2020,107,29709,111,33,10,3
Alabama,"Pike, Alabama",Pike,0.6451282051,M,0.6038894575,4/4/2020 17:00,Yes,AllNonEssential,AL,62,-25,-0.403225806,111.7352,35,-76.7352,-25.4101,3.192435,11.5899,4/9/2020,37,33114,54,18,0,0
Alabama,"Pickens, Alabama",Pickens,0.6451282051,M,0.5786290323,4/4/2020 17:00,Yes,AllNonEssential,AL,109,-13,-0.119266055,481.6859,35,-446.686,-89.0245,13.76245,6.9755,4/9/2020,96,19930,95,19,0,0
Arkansas,"Baxter, Arkansas",Baxter,0.6411889597,M,0.7788259958,,No,None,AR,114,-36,-0.315789474,186.0155,35,-151.015,-63.3238,5.314727,14.6762,4/9/2020,78,41932,10,4,0,0
Arkansas,"Boone, Arkansas",Boone,0.6411889597,R,0.8065887354,,No,None,AR,110,-28,-0.254545455,219.0639,35,-184.064,-68.8988,6.258969,13.1012,4/9/2020,82,37432,8,3,0,0
Arkansas,"Columbia, Arkansas",Columbia,0.6411889597,R,0.6349534643,,No,None,AR,76,-19,-0.25,242.9978,35,-207.998,-48.7901,6.942795,8.20995,4/9/2020,57,23457,13,3,0,0
