Location,Stay At Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,State-Mandated School Closures,Bar/Restaurant Limits,Primary Election Postponement,Emergency Declaration
United States,Statewide (42); High-risk Groups (2); Other (1); No Action (6),All Travelers (12); All Air Travelers (1); From Certain States (7); Other (1); No Action (30),All Non-Essential Businesses (35); All Non-Essential Retail Businesses (4); Other (4); No Action (8),All Gatherings Prohibited (18); >10 Prohibited (26); Other (4); No action (3),Yes (49); Effectively Closed (2),Closed except for takeout/delivery (47); Limited on-site service (2); Other (1); No action (1),Yes (14); No (37),Yes (51); No (0)
Alabama,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Alaska,Statewide,All Travelers,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes
Arizona,Statewide,From Certain States,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes
Arkansas,-,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes
California,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,-,Yes
Colorado,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes
Connecticut,Statewide,-,All Non-Essential Businesses,Other,Yes,Closed except for takeout/delivery,Yes,Yes
Delaware,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
District of Columbia,Statewide,-,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes
Florida,Statewide,From Certain States,All Non-Essential Businesses,Other,Yes,Closed except for takeout/delivery,-,Yes
Georgia,Statewide,-,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Hawaii,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes
Idaho,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Effectively Closed,Closed except for takeout/delivery,-,Yes
Illinois,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,-,Yes
Indiana,Statewide,-,All Non-Essential Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Iowa,-,-,Other,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes
Kansas,Statewide,From Certain States,All Non-Essential Businesses,>10 People Prohibited,Yes,Limited On-site Service,-,Yes
Kentucky,Statewide,Other,All Non-Essential Retail Businesses,All Gatherings Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Louisiana,Statewide,-,-,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
Maine,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,-,Yes
Maryland,Statewide,All Travelers,All Non-Essential Businesses,>10 People Prohibited,Yes,Closed except for takeout/delivery,Yes,Yes
